Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO1221,CO1221_CA,CO1221_attendance,CO1222,CO1222_CA,CO1222_attendance,CO1212,CO1212_CA,CO1212_attendance,CO1223,CO1223_CA,CO1223_attendance,CO1213,CO1213_CA,CO1213_attendance,CO1224,CO1224_CA,CO1224_attendance,CO1214,CO1214_CA,CO1214_attendance,CO1225,CO1225_CA,CO1225_attendance,CO1226,CO1226_CA,CO1226_attendance,2sem_gpa,1st_sem_GPA,2sem_pass/fail
Male,5,No,No,No,B-,31,1,B-,27,1,A-,31,1,C-,12,1,D+,12,1,C-,10,1,B-,25,1,B-,31,1,B-,29,1,2.41,2.28,0
Female,6,No,No,No,A-,29,1,A+,30,1,B-,24,1,C+,20,1,B,24,1,B-,24,1,A+,30,1,B+,25,1,A+,32,1,3.31,3.27,1
Female,more than 6 hours,No,No,No,A-,28,1,A+,30,1,B,31,1,C+,22,1,A,32,1,B+,28,1,B,25,1,A-,32,1,A-,31,1,3.42,3.18,1
Female,5,No,No,No,A-,29,1,A+,31,1,B,29,1,C-,20,1,B,29,1,B-,31,1,B-,23,1,A-,28,1,B,29,1,3.09,3.17,0
Male,5,Yes,No,No,A+,29,1,A+,27,1,A+,28,1,A+,26,1,A+,29,1,A,24,1,A+,28,1,A,27,1,A,28,1,4,3.92,1
Male,1,Yes,Yes,Yes,ab,22,0,ab,20,0,ab,24,0,ab,23,0,ab,25,0,D,18,1,ab,23,0,D+,22,1,D+,21,1,0.48,2.21,0
Male,less than 1 hour,Yes,Yes,No,C+,30,1,B-,29,1,A-,31,1,A,30,1,A+,32,1,B+,29,1,A+,31,1,B+,31,1,B-,30,1,3.22,3.09,1
Male,1,No,Yes,No,C+,27,1,C,25,1,B+,29,1,A-,28,1,A+,30,1,C+,26,1,A,30,1,B+,29,1,B,29,1,2.97,3.45,1
Male,4,No,No,No,B-,23,1,C,18,1,A-,21,1,A-,20,1,A+,22,1,B-,16,1,A-,23,1,B+,20,1,C+,22,1,2.99,3.13,1
Female,2,Yes,No,Yes,C,31,1,C-,30,1,B+,32,1,B+,30,1,A+,31,1,B-,28,1,A+,32,1,B-,31,1,C+,32,1,2.71,3.23,0
Female,2,Yes,No,Yes,B-,21,1,ab,17,0,ab,20,0,A-,18,1,A-,22,1,B-,14,1,B+,22,1,A-,19,1,C+,20,1,2.48,3.34,0
Male,3,No,No,Yes,ab,30,0,E,28,1,B,31,1,B+,29,1,A-,31,1,B+,28,1,B,31,1,C+,30,1,B-,31,1,2.19,2.64,0
Female,5,No,No,No,B-,28,1,B,26,1,A,29,1,A+,27,1,A,29,1,B+,24,1,A-,29,1,B,28,1,B-,28,1,3.27,3.4,1
Male,less than 1 hour,Yes,No,Yes,C-,23,1,ab,21,0,ab,26,0,B,22,1,A,24,1,C-,19,1,B-,25,1,B-,24,1,C-,23,1,1.89,2.53,0
Male,3,No,No,Yes,D,29,1,E,28,1,B+,31,1,B+,30,1,A-,32,1,E,28,1,B,31,1,B-,30,1,C-,31,1,1.83,2.87,0
Male,1,No,Yes,No,C+,24,1,A-,22,1,A-,28,1,A+,27,1,A+,27,1,C+,22,1,A+,28,1,B+,26,1,B-,27,1,3.22,3.37,1
Male,4,No,No,No,D,19,1,C+,14,1,B+,17,1,A-,16,1,A+,18,1,C,12,1,A-,19,1,B-,16,1,C,17,1,2.56,2.99,0
Male,5,No,No,No,C,30,1,ab,28,0,ab,31,0,B+,29,1,A+,31,1,B-,29,1,A-,31,1,C-,30,1,C+,31,1,2.11,3.17,0
Male,more than 6 hours,No,No,Yes,C+,25,1,B+,23,1,A-,27,1,A,24,1,A+,26,1,B-,21,1,A+,27,1,B-,26,1,C,25,1,3.05,3.31,1
Male,6,No,No,No,D+,28,1,C-,26,1,C+,29,1,B,28,1,A+,30,1,B-,25,1,B-,30,1,C+,28,1,B-,29,1,2.43,3.07,0
Male,2,Yes,No,Yes,C,30,1,B,28,1,A-,32,1,A-,30,1,A+,32,1,C+,29,1,A+,31,1,B-,30,1,B-,32,1,2.97,3.45,1
Female,more than 6 hours,No,No,Yes,B,25,1,A-,23,1,A-,26,1,A+,24,1,A+,27,1,B+,21,1,A+,26,1,A-,25,1,A-,26,1,3.63,3.15,1
Female,5,No,No,No,ab,28,0,ab,27,0,ab,30,0,ab,28,0,ab,31,0,ab,26,0,ab,31,0,ab,29,0,A-,30,1,0.49,3.55,0
Female,3,Yes,No,Yes,B-,24,1,ab,20,0,ab,23,0,A,22,1,B,25,1,B,19,1,B+,24,1,B,23,1,B+,22,1,2.55,2.59,0
Male,3,No,Yes,No,C-,31,1,ab,29,0,ab,32,0,B+,30,1,A-,31,1,B-,28,1,B+,31,1,B-,30,1,B-,32,1,2.21,3.13,0
Male,1,No,Yes,Yes,ab,27,0,ab,23,0,ab,29,0,ab,26,0,ab,28,0,ab,24,0,ab,29,0,C+,28,1,C+,27,1,0.61,3.41,0
Male,4,Yes,No,No,C-,19,1,ab,15,1,ab,20,0,B,17,1,B,20,1,C+,13,1,B+,19,1,C-,19,1,C+,18,1,1.89,3.05,0
Female,4,No,No,Yes,C-,31,1,ab,30,1,ab,32,1,B+,29,1,A,31,1,C+,28,1,C,32,1,B+,31,1,C+,31,1,2.12,3.4,0
Male,4,No,No,No,C+,23,1,C,19,1,B-,25,1,A,22,1,A+,25,1,B-,18,1,A+,24,1,B+,23,1,B-,22,1,2.98,3.63,1
Male,less than 1 hour,Yes,Yes,No,C,29,1,B-,27,1,A-,31,1,A,28,1,A+,31,1,B-,27,1,B,30,1,B-,29,1,B-,30,1,2.95,3.03,1
Male,2,Yes,No,No,ab,30,0,D,28,1,C+,31,1,B,29,1,B,31,1,D+,29,1,B-,32,1,C-,30,1,C,31,1,1.73,3.31,0
Male,3,No,No,Yes,ab,26,0,D+,23,1,C+,28,1,C+,24,1,A-,27,1,C-,21,1,B,27,1,D,25,1,D,26,1,1.57,3.01,0
Male,1,No,Yes,Yes,B-,29,1,C-,27,1,A-,31,1,B+,28,1,A+,31,1,B,27,1,A,30,1,B,29,1,D+,30,1,2.78,3.14,0
