Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO1121,CO1121_CA,CO1121_attendance,CO1122,CO1122_CA,CO1122_attendance,CO1112,CO1112_CA,CO1112_attendance,CO1123,CO1123_CA,CO1123_attendance,CO1124,CO1124_CA,CO1124_attendance,CO1114,CO1114_CA,CO1114_attendance,CO1125,CO1125_CA,CO1125_attendance,CO1115,CO1115_CA,CO1115_attendance,CO1126,CO1126_CA,CO1126_attendance,1sem_gpa,pre_sem_GPA,1sem_pass/fail
Male,3,No,No,Yes,ab,29,0,B-,27,1,A-,30,1,A+,29,1,B,31,1,C+,28,1,B+,31,1,B,30,1,A,31,1,2.87,0,0
Male,1,No,Yes,No,A+,30,1,B,26,1,B+,25,1,B-,23,1,A,25,1,A+,30,1,C+,24,1,B+,23,1,A,25,1,3.37,0,1
Male,4,No,No,No,B,28,1,C+,19,1,A-,30,1,B,28,1,A,29,1,C-,27,1,B+,30,1,C+,28,1,B,30,1,2.99,0,0
Male,5,No,No,No,C+,20,1,B+,25,1,A,29,1,A-,26,1,B,28,1,A,23,1,A-,28,1,B,27,1,C+,29,1,3.17,0,1
Male,more than 6 hours,No,No,Yes,A-,25,1,C+,16,1,B-,22,1,B+,25,1,A,27,1,B,15,1,A,21,1,B-,19,1,B+,21,1,3.31,0,1
Male,6,No,No,No,C,12,1,A-,28,1,B,32,1,B+,29,1,C+,20,1,B,27,1,A-,32,1,A,30,1,B,31,1,3.07,0,1
Male,2,Yes,No,Yes,A,27,1,B-,25,1,C+,20,1,A+,31,1,B+,25,1,B-,21,1,A,25,1,B+,24,1,A-,26,1,3.45,0,1
Female,more than 6 hours,No,No,Yes,B,30,1,C+,18,1,A,32,1,A-,29,1,C+,22,1,A,28,1,A-,32,1,B+,30,1,B,32,1,3.15,0,1
Female,5,No,No,No,A-,25,1,B+,24,1,B,26,1,B+,22,1,A,25,1,B,19,1,A,24,1,B-,23,1,A,25,1,3.55,0,1
Female,3,Yes,No,Yes,ab,28,0,C,22,1,A,30,1,B,28,1,A+,30,1,ab,27,0,B+,30,1,A-,29,1,B+,30,1,2.59,0,0
Male,3,No,Yes,No,C,20,1,A,28,1,A-,31,1,B,29,1,B-,31,1,A,28,1,C+,32,1,B+,30,1,A,31,1,3.13,0,1
Male,1,No,Yes,Yes,A+,29,1,B+,28,1,A-,31,1,A,32,1,B+,21,1,A-,17,1,B,22,1,A+,21,1,C+,22,1,3.41,0,1
Male,4,Yes,No,No,B+,31,1,C+,19,1,B,30,1,C,10,1,A,32,1,C+,30,1,A,32,1,B+,31,1,B,32,1,3.05,0,1
Female,4,No,No,Yes,C+,21,1,A,27,1,B+,30,1,A-,28,1,A,29,1,B,27,1,B,30,1,B-,29,1,A,30,1,3.4,0,1
Male,4,No,No,No,A,26,1,A-,25,1,A+,29,1,A,25,1,B+,23,1,B-,18,1,A+,22,1,A-,21,1,B,22,1,3.63,0,1
Male,less than 1 hour,Yes,Yes,No,C+,21,1,B,24,1,C+,19,1,B+,25,1,C,27,1,B+,23,1,A,27,1,B-,26,1,A+,28,1,3.03,0,1
Male,2,Yes,No,No,B-,28,1,A-,26,1,B+,30,1,A+,28,1,A,29,1,A,27,1,B+,30,1,B,29,1,C,30,1,3.31,0,1
Male,3,No,No,Yes,ab,22,1,B+,19,1,A-,29,1,B-,21,1,A,23,1,C,18,1,A,23,1,A+,22,1,A-,24,1,3.01,0,0
Male,1,No,Yes,Yes,C,22,1,C+,20,1,A+,31,1,A,29,1,B+,31,1,B+,27,1,B,31,1,A,30,1,B+,31,1,3.14,0,1
Male,5,No,No,No,B,24,1,C,20,1,A,27,1,B+,24,1,A,26,1,A-,21,1,B,27,1,A,25,1,C+,26,1,3.13,0,1
Male,2,No,No,No,A+,30,1,B,29,1,B+,31,1,B-,30,1,B,32,1,C+,29,1,A,31,1,B,30,1,A+,32,1,3.33,0,1
Male,less than 1 hour,Yes,No,Yes,B-,22,1,A-,29,1,B+,24,1,B,21,1,C+,23,1,A+,31,1,A-,23,1,B+,21,1,A,22,1,3.29,0,1
Male,3,No,No,No,B+,27,1,A+,29,1,A,29,1,A,26,1,B,28,1,B-,24,1,B+,28,1,A-,27,1,C,28,1,3.31,0,1
Female,6,No,No,No,C,15,1,C+,18,1,B-,24,1,A-,25,1,A,22,1,C,16,1,B,23,1,A,21,1,B+,23,1,3.02,0,1
Male,1,No,No,Yes,B,30,1,A-,28,1,A+,32,1,A,29,1,B+,31,1,B,28,1,A-,32,1,B,30,1,B,32,1,3.43,0,1
Male,6,No,No,No,A,23,1,B,21,1,B+,26,1,A,24,1,C+,24,1,A+,29,1,A,25,1,A-,23,1,A+,32,1,3.57,0,1
Male,6,No,No,Yes,B+,31,1,C,29,1,A+,32,1,A,30,1,A,32,1,A+,29,1,A,32,1,A,31,1,B+,32,1,3.55,0,1
Female,6,No,No,Yes,A-,27,1,B+,24,1,A-,29,1,A+,30,1,B+,28,1,C+,24,1,A+,28,1,B-,27,1,A-,29,1,3.51,0,1
Female,1,Yes,No,Yes,B+,29,1,A,27,1,A+,31,1,A,30,1,A-,30,1,B+,28,1,B,31,1,B+,29,1,C,31,1,3.37,0,1
Female,6,No,Yes,No,A,25,1,C+,22,1,B-,27,1,A+,30,1,C+,26,1,B,21,1,A-,30,1,B,24,1,B+,26,1,3.19,0,1
Male,3,Yes,No,Yes,B,30,1,A,28,1,A,31,1,A-,31,1,A+,31,1,A,28,1,B+,31,1,A,30,1,B-,31,1,3.56,0,1
Female,2,No,Yes,No,B+,24,1,B,21,1,A,27,1,B+,23,1,B+,25,1,A-,20,1,C,26,1,A,24,1,A-,33,1,3.26,0,1
Female,5,No,No,Yes,A,19,1,C+,16,1,A+,31,1,A-,31,1,B+,21,1,A,15,1,B+,22,1,A,19,1,B,21,1,3.41,0,1
Male,6,No,No,No,A+,31,1,B+,30,1,B,29,1,A+,31,1,A,32,1,A,30,1,B-,32,1,B+,31,1,A,32,1,3.62,0,1
Male,4,Yes,No,Yes,B-,22,1,A-,19,1,A+,33,1,B+,26,1,A,23,1,A+,31,1,B,23,1,B-,22,1,A,33,1,3.47,0,1
Female,4,No,No,No,B,28,1,B+,26,1,A,30,1,B,28,1,C,30,1,B,27,1,A,30,1,A,29,1,B+,30,1,3.21,0,1
Male,3,No,Yes,No,A-,30,1,C+,20,1,B,29,1,A,29,1,A-,31,1,A+,28,1,A,31,1,A+,30,1,B,31,1,3.49,0,1
Male,4,No,No,Yes,B+,23,1,A+,30,1,B+,25,1,A+,29,1,B+,24,1,B,19,1,A+,31,1,A,22,1,A+,31,1,3.7,0,1
Male,3,Yes,No,No,A,29,1,C,21,1,B,31,1,B+,29,1,A+,30,1,B-,28,1,A+,31,1,B,30,1,C,31,1,3.15,0,1
Female,5,No,No,No,C+,16,1,B+,23,1,A,28,1,B+,24,1,B,26,1,B,21,1,A,27,1,A-,25,1,B,27,1,3.23,0,1
Female,4,Yes,No,No,A+,30,1,A,29,1,B+,30,1,A,30,1,A,31,1,A,29,1,B+,32,1,A+,31,1,B+,32,1,3.77,0,1
Male,4,No,No,No,A,24,1,B+,21,1,A-,26,1,B,23,1,A,25,1,A,20,1,A+,35,1,B+,24,1,A+,34,1,3.71,0,1
Female,2,Yes,No,No,B,28,1,A,26,1,B+,26,1,A,27,1,C,29,1,A+,31,1,B,30,1,B+,29,1,A,30,1,3.37,0,1
Male,6,No,No,No,A-,24,1,B-,20,1,B+,24,1,B+,20,1,A,23,1,C+,17,1,A+,32,1,A,28,1,B+,22,1,3.44,0,1
Male,less than 1 hour,Yes,No,Yes,A+,31,1,C,17,1,A,32,1,B+,30,1,B-,32,1,A,29,1,B+,32,1,B,31,1,B,32,1,3.17,0,1
Female,3,No,No,Yes,ab,26,0,C+,23,1,A-,29,1,A,28,1,A,27,1,B+,22,1,ab,28,0,A,26,1,A+,30,1,2.64,0,0
Male,4,No,No,No,A,25,1,A,25,1,A-,26,1,B+,23,1,B,25,1,B+,19,1,A,31,1,A+,30,1,A+,30,1,3.71,0,1
Male,3,No,No,No,B-,29,1,C+,19,1,B,29,1,B+,29,1,A+,30,1,A,28,1,B,31,1,A+,30,1,B+,31,1,3.21,0,1
Male,2,No,Yes,No,A-,25,1,B+,22,1,A-,27,1,B+,23,1,A,26,1,B+,21,1,A+,27,1,A+,30,1,A,26,1,3.71,0,1
Male,5,No,No,No,A,31,1,B+,30,1,A+,32,1,A+,31,1,A,32,1,A+,30,1,B,32,1,A,30,1,B,32,1,3.64,0,1
Male,3,No,No,No,A-,27,1,B,25,1,A,29,1,A-,26,1,B+,28,1,B,24,1,B+,28,1,A+,30,1,B+,29,1,3.44,0,1
Male,2,Yes,No,No,A+,29,1,A+,29,1,B+,25,1,A+,30,1,B,23,1,A+,31,1,A,23,1,A-,31,1,A+,30,1,3.8,0,1
Male,1,Yes,No,Yes,ab,28,1,A+,30,1,A,30,1,B+,28,1,B,30,1,A,30,1,B+,30,1,A-,31,1,A,30,1,3.12,0,0
Male,3,No,No,No,A-,27,1,A+,28,1,A+,26,1,A+,27,1,A+,28,1,A+,27,1,A,26,1,A+,27,1,B,28,1,3.83,0,1
Male,2,No,No,No,A,22,1,A+,21,1,A+,20,1,A+,22,1,A,21,1,A+,22,1,A-,20,1,A,22,1,C,21,1,3.69,0,1
Male,4,No,No,No,A,30,1,B-,29,1,A+,31,1,A+,30,1,A+,31,1,B,30,1,A+,29,1,A+,30,1,B,31,1,3.63,0,1
Male,3,No,Yes,No,A+,26,1,A-,25,1,A+,24,1,A+,26,1,A+,25,1,B+,26,1,A,25,1,A+,26,1,B+,27,1,3.82,0,1
Female,5,Yes,No,No,A+,24,1,B-,25,1,C-,23,1,A+,24,1,A+,25,1,B+,24,1,A-,23,1,B+,24,1,B-,25,1,3.37,0,0
Male,3,Yes,No,Yes,A+,29,1,A+,30,1,A+,28,1,A+,29,1,A+,30,1,A+,29,1,A+,30,1,A+,29,1,A,30,1,4,0,1
Male,2,No,Yes,No,ab,31,0,ab,30,1,ab,29,0,ab,31,0,ab,30,0,ab,31,0,ab,30,0,ab,29,0,ab,31,0,0,0,0
