Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO2121,CO2121_CA,CO2121_attendance,CO2122,CO2122_CA,CO2122_attendance,CO2112,CO2112_CA,CO2112_attendance,CO2123,CO2123_CA,CO2123_attendance,CO2124,CO2124_CA,CO2124_attendance,CO2114,CO2114_CA,CO2114_attendance,CO2125,CO2125_CA,CO2125_attendance,CO2115,CO2115_CA,CO2115_attendance,CO2126,CO2126_CA,CO2126_attendance,3sem_gpa,2nd_sem_GPA,3sem_pass/fail
Female,2,Yes,No,Yes,A+,24,1,B,17,1,A,23,1,B+,20,1,C+,24,1,A-,15,1,B+,26,1,B,23,1,A,19,1,3.37,2.91,1
Male,3,No,No,Yes,A-,30,1,C-,29,1,B,31,1,A-,29,1,B+,32,1,B+,28,1,A-,31,1,B+,30,1,A,31,1,3.32,2.415,0
Female,5,No,No,No,A+,28,1,B,25,1,A,27,1,A,26,1,B,27,1,A-,22,1,A+,27,1,A,28,1,A-,28,1,3.67,3.335,1
Male,less than 1 hour,Yes,No,Yes,B+,25,1,C+,23,1,A+,26,1,C+,23,1,B,26,1,B+,20,1,A,26,1,A,26,1,A-,25,1,3.23,2.21,1
Male,3,No,No,Yes,B,31,1,C,27,1,B+,30,1,A-,30,1,C,31,1,B,28,1,B,30,1,B+,31,1,B+,30,1,2.91,2.35,1
Male,1,No,Yes,No,B,29,1,B+,26,1,A+,27,1,B-,28,1,ab,30,0,B,26,1,A+,29,1,A+,30,1,B+,28,1,2.91,3.295,0
Male,4,No,No,No,A-,21,1,D+,14,1,A+,19,1,B,15,1,B-,20,1,A,12,1,A,19,1,A-,20,1,B+,18,1,3.18,2.775,0
Male,5,No,No,No,B+,30,1,B-,28,1,A-,31,1,A-,28,1,C-,31,1,A+,29,1,A-,32,1,A+,30,1,B+,31,1,3.23,2.64,0
Male,more than 6 hours,No,No,Yes,A+,26,1,B-,22,1,A+,25,1,B+,23,1,B,24,1,A+,18,1,A+,25,1,A,23,1,C,23,1,3.33,3.18,1
Male,6,No,No,No,A-,25,1,B,20,1,B+,27,1,B,25,1,C+,27,1,A-,19,1,B+,27,1,A-,26,1,B+,27,1,3.19,2.75,1
Male,2,Yes,No,Yes,A-,28,1,B+,26,1,A+,29,1,B+,27,1,B-,29,1,A,26,1,A-,29,1,B+,28,1,B+,30,1,3.42,3.21,1
